Timing,pump1,pump2,pump3
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,2;2;6,0;2;6
2.5,0;2;6,0;3;7,3;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,1.5;2;6,0;2;6
2.5,0;2;6,0;3;7,3.5;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,1;2;6,0;2;6
2.5,0;2;6,0;3;7,4;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,0.5;2;6,0;2;6
2.5,0;2;6,0;3;7,4.5;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,2.5;4;8,0;2;6
2.5,0;2;6,0;3;7,2.5;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,2;4;8,0;2;6
2.5,0;2;6,0;3;7,3;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,1.5;4;8,0;2;6
2.5,0;2;6,0;3;7,3.5;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.8;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,1;4;8,0;2;6
2.5,0;2;6,0;3;7,4;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.8;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
2.5,40;4;8,0;5;9,0;9;1
3,0;4;8,0;5;9,50;9;1
3,15;2;6,0;5;9,0;9;1
2.5,0;2;6,0.5;4;8,0;2;6
2.5,0;2;6,0;4;8,4.5;2;6
3,0;2;6,0;5;9,0.6;3;7
10,0.4;3;7,0;5;9,0;2;6
70,0;2;6,12;5;9,0;2;6
3,0;2;6,0;2;6,55;9;1
2.5,40;4;8,0;5;9,0;9;1
